Constituency,County,Country/Region,Country,Electorate,Turnout,Total votes,Conservative,Labour,Lib. Dem.,Brexit,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Other
ABERAVON,West Glamorgan,Wales,Wales,50750,0.6226206896551724,31598,6518,17008,1072,3108,450,NA,2711,NA,NA,NA,NA,NA,731
ABERCONWY,Clwyd,Wales,Wales,44699,0.7128794827624779,31865,14687,12653,1821,NA,NA,NA,2704,NA,NA,NA,NA,NA,NA
ABERDEEN NORTH,NA,Scotland,Scotland,62489,0.5987133735537454,37413,7535,4939,2846,1008,880,20205,NA,NA,NA,NA,NA,NA,NA
ABERDEEN SOUTH,NA,Scotland,Scotland,65719,0.6944414857195027,45638,16398,3834,5018,NA,NA,20388,NA,NA,NA,NA,NA,NA,NA
AIRDRIE AND SHOTTS,NA,Scotland,Scotland,64011,0.6213307087844276,39772,7011,12728,1419,NA,685,17929,NA,NA,NA,NA,NA,NA,NA
ALDERSHOT,Hampshire,South East,England,72617,0.6600658248068634,47932,27980,11282,6920,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA
ALDRIDGE-BROWNHILLS,West Midlands,West Midlands,England,60138,0.6541953506934052,39342,27850,8014,2371,NA,771,NA,NA,NA,NA,NA,NA,NA,336
ALTRINCHAM AND SALE WEST,Greater Manchester,North West,England,73107,0.7490801154472212,54763,26311,20172,6036,NA,1566,NA,NA,NA,NA,NA,NA,NA,678
ALYN AND DEESIDE,Clwyd,Wales,Wales,62789,0.6849607415311599,43008,18058,18271,2548,2678,NA,NA,1453,NA,NA,NA,NA,NA,NA
AMBER VALLEY,Derbyshire,East Midlands,England,69976,0.6511804047101863,45567,29096,12210,2873,NA,1388,NA,NA,NA,NA,NA,NA,NA,NA
ANGUS,NA,Scotland,Scotland,63952,0.6750375281461096,43170,17421,2051,2482,NA,NA,21216,NA,NA,NA,NA,NA,NA,NA
ARFON,Gwynedd,Wales,Wales,42215,0.6887125429349757,29074,4428,10353,NA,1159,NA,NA,13134,NA,NA,NA,NA,NA,NA
ARGYLL AND BUTE,NA,Scotland,Scotland,66525,0.7222848553175498,48050,16930,3248,6832,NA,NA,21040,NA,NA,NA,NA,NA,NA,NA
ARUNDEL AND SOUTH DOWNS,West Sussex,South East,England,81726,0.7513887869221545,61408,35566,9722,13045,NA,2519,NA,NA,NA,NA,NA,NA,NA,556
ASHFIELD,Nottinghamshire,East Midlands,England,78204,0.6263106746457981,48980,19231,11971,1105,2501,674,NA,NA,NA,NA,NA,NA,NA,13498
ASHFORD,Kent,South East,England,89553,0.6706531327817047,60059,37270,13241,6048,NA,2638,NA,NA,NA,NA,NA,NA,NA,862
ASHTON-UNDER-LYNE,Greater Manchester,North West,England,67978,0.5675218453028921,38579,14281,18544,1395,3151,1208,NA,NA,NA,NA,NA,NA,NA,NA
AYLESBURY,Buckinghamshire,South East,England,86665,0.6989672878324583,60576,32737,15364,10081,NA,2394,NA,NA,NA,NA,NA,NA,NA,NA
"AYR, CARRICK AND CUMNOCK",NA,Scotland,Scotland,71970,0.64738085313325,46592,17943,6219,2158,NA,NA,20272,NA,NA,NA,NA,NA,NA,NA
BANBURY,Oxfordshire,South East,England,90116,0.698222291269031,62921,34148,17335,8831,NA,2607,NA,NA,NA,NA,NA,NA,NA,NA
BANFF AND BUCHAN,NA,Scotland,Scotland,66655,0.6340109519165854,42260,21182,1734,2280,NA,NA,17064,NA,NA,NA,NA,NA,NA,NA
BARKING,London,London,England,77953,0.5708439700845381,44499,11792,27219,1482,3186,820,NA,NA,NA,NA,NA,NA,NA,NA
BARNSLEY CENTRAL,South Yorkshire,Yorkshire and The Humber,England,65277,0.5653292890298267,36903,7892,14804,1176,11233,900,NA,NA,NA,NA,NA,NA,NA,898
BARNSLEY EAST,South Yorkshire,Yorkshire and The Humber,England,69504,0.5477382596685083,38070,10377,14329,1330,11112,922,NA,NA,NA,NA,NA,NA,NA,NA
BARROW AND FURNESS,Cumbria,North West,England,70158,0.6563185951709,46046,23876,18087,2025,1355,703,NA,NA,NA,NA,NA,NA,NA,NA
BASILDON AND BILLERICAY,Essex,East,England,69906,0.6312476754498898,44128,29590,9178,3741,NA,1395,NA,NA,NA,NA,NA,NA,NA,224
BASINGSTOKE,Hampshire,South East,England,82928,0.6597650974339185,54713,29593,15395,6841,NA,2138,NA,NA,NA,NA,NA,NA,NA,746
BASSETLAW,Nottinghamshire,East Midlands,England,80024,0.6353219034289713,50841,28078,14065,3332,5366,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATH,Avon,South West,England,67805,0.7689403436324754,52138,16097,6639,28419,642,NA,NA,NA,NA,NA,NA,NA,NA,341
BATLEY AND SPEN,West Yorkshire,Yorkshire and The Humber,England,79558,0.6652630785087609,52927,19069,22594,2462,1678,692,NA,NA,NA,NA,NA,NA,NA,6432
BATTERSEA,London,London,England,79350,0.7558538122243226,59977,21622,27290,9150,386,1529,NA,NA,NA,NA,NA,NA,NA,NA
BEACONSFIELD,Buckinghamshire,South East,England,77720,0.7445702521873392,57868,32477,5756,NA,NA,2033,NA,NA,NA,NA,NA,NA,NA,17602
BECKENHAM,London,London,England,68662,0.7362879030613732,50555,27282,13024,8194,NA,2055,NA,NA,NA,NA,NA,NA,NA,NA
BEDFORD,Bedfordshire,East,England,71581,0.6608038445956329,47301,20346,20491,4608,896,960,NA,NA,NA,NA,NA,NA,NA,NA
BELFAST EAST,NA,Northern Ireland,Northern Ireland,66245,0.6407276020831761,42445,NA,NA,NA,NA,NA,NA,NA,20874,NA,NA,2516,19055,NA
BELFAST NORTH,NA,Northern Ireland,Northern Ireland,72225,0.6789477327795085,49037,NA,NA,NA,NA,NA,NA,NA,21135,23078,NA,NA,4824,NA
BELFAST SOUTH,NA,Northern Ireland,Northern Ireland,69984,0.6766117969821673,47352,NA,NA,NA,NA,NA,NA,NA,11678,NA,27079,1259,6786,550
BELFAST WEST,NA,Northern Ireland,Northern Ireland,65644,0.5907927609530194,38782,NA,NA,NA,NA,NA,NA,NA,5220,20866,2985,NA,1882,7829
